job_title,company,company_description,published_at,salary,location
Senior Fullstack Developer (Node.JS / Angular),Altar.io,We build digital products for entrepreneurs and business leaders who want to revolutionize their industries.,2024-10-30 19:08:33,48000,"['Aveiro', 'Braga', 'Coimbra', 'Lisboa', 'Setúbal', 'Porto']"
DevOps AWS,Adentis,"Com mais de 5 anos de existência a nível nacional, contamos com mais de 200 colaboradores com o nosso ADN e posicionamo-nos no mercado com 3 ofertas de serviço:  •	Strategy (Outsourcing, NeXel, Team as a Service, Tech Academies);  •	R&D (Estágios, POC, Laboratório Tecnológico);  •	Nearshore.    Na ADENTIS centramo-nos nas PESSOAS e é este o nosso salário emocional:  •	Equilíbrio entre a vida profissional e pessoal;  •	Flexibilidade na rotina organizacional;  •	Benefícios de saúde para colaboradores e familiares;  •	Eventos Team Building;  •	Protocolo com mais de 300 parceiros;  •	Formação contínua através de um centro profissional de formação e certificação;  •	Acompanhamento e feedback contínuo através de um plano personalizado;  •	Progressão de carreira através de avaliações objetivas e diretas.",2024-10-30 19:06:43,,['Lisboa']
Data Scientist,Bee Engineering,"Bee Engineering is an IT consultancy company that helps organizations find the right tech solution to catalyze growth. We take the best practices of engineering and technology into projects of global reach in consulting, game development, R&D, and training. We move as one to reach further and achieve the sole purpose of success.    A Bee Engineering é uma consultora de TI que apoia as organizações a encontrar a solução tecnológica certa para catalisar o seu crescimento. Levamos as melhores práticas de engenharia e tecnologia a projetos de alcance global em consultoria, desenvolvimento de jogos, R&D e training. Movemo-nos como um todo para atingir um propósito, o sucesso.",2024-10-30 19:05:48,,"['Lisboa', 'Porto', 'Internacional']"
Associate Back-End Developer (i.e. Python),Imaginary Cloud,"At Imaginary Cloud, we believe technology should improve and simplify people's lives. We are a Software Development and UX/UI Design company that follows a unique user-centric Product Design Process. We helped build and launch more than 200 web & mobile applications worldwide together with industry-leading clients and have been awarded in 2020 as Top 100 Fastest Growing Company and Top 1000 Global Company by Clutch.    Our purpose is to champion a human-centric world; that is why we put our people first always. You can expect a respectful and caring culture, where you can grow and learn in a flexible work environment (see for yourself by checking our Glassdoor rating). Imaginary Cloud has been awarded Best Quality of Life and #2 Best Place to Work® (companies between 51 and 100 employees), in Portugal, an award that proves our dedication towards building a Human-Centric World from within.    At Imaginary Cloud you will find:  	• A remote-first company. We seek team members who live in Portugal or are willing and legally qualified to live and work in the country.  	• Flexible working hours  	• Global projects with industry-leading clients  	• Career plan with strong growth potential  	• Health & Dental insurance  	• Paid sick days  	• Informal environment  	• Team events  	• Caring, respectful and human-centric culture  	• Comfort budget  	• Fair compensation according to your experience    Need more reasons to join us? If Imaginary Cloud is what you are looking for, we really would like to meet you!",2024-10-30 12:06:57,,"['Coimbra', 'Lisboa', 'Porto']"
Data Engineer - AWS,GRiT Solutions,"Tech Passionate People, with Purpose.    GRiT® is a new authentic player at IT Consultancy, offering tangible solutions envisioned upon workable technologies.     Born in Portugal to help companies all over Europe on achieving their digital and business evolution goals.    We provide IT Consulting and Nearshoring services on two collaboration models: Time & Materials and Team as a Service.    Powered by passion and perseverance, we strive for positive impact, delivering solutions while building strong long-term relations.    People. Technology. Innovation.  All-around it.",2024-10-30 12:03:41,,"['Lisboa', 'Porto']"
Data Engineer,Bee Engineering,"Bee Engineering is an IT consultancy company that helps organizations find the right tech solution to catalyze growth. We take the best practices of engineering and technology into projects of global reach in consulting, game development, R&D, and training. We move as one to reach further and achieve the sole purpose of success.    A Bee Engineering é uma consultora de TI que apoia as organizações a encontrar a solução tecnológica certa para catalisar o seu crescimento. Levamos as melhores práticas de engenharia e tecnologia a projetos de alcance global em consultoria, desenvolvimento de jogos, R&D e training. Movemo-nos como um todo para atingir um propósito, o sucesso.",2024-10-29 19:44:52,,"['Lisboa', 'Porto', 'Internacional']"
Junior Full Stack Developer,Integer Consulting,"A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos.",2024-10-29 19:44:37,,['N/A']
Data Scientist e Machine Learning Engineer,Xpand IT,"Na Xpand IT inspiramos pessoas e organizações a alcançarem resultados de excelência. Apostamos na especialização tecnológica como eixo diferenciador para a criação de valor de negócio. Somos uma empresa empresa global, especialista em Big Data, BI & Analytics, Data Science, Middleware, Digital Xperience e Colaboração & Desenvolvimento de Software.",2024-10-29 19:41:33,,['Lisboa']
IAM Analyst ,Noesis Portugal,"Founded in 1995, we are an international tech consulting company certified by Great Place to Work and in second place in The Best Workplaces 23. We offer innovative solutions to support our clients in their digital transformation. We have over a thousand talents specialized in different technologies, with offices in Portugal, Spain, the Netherlands, Brazil, Ireland, and the USA. Over the years, we have grown and expanded, always staying true to our core values of excellence, innovation, and customer satisfaction. Today, we are a leading player in our industry, with a reputation for delivering cutting-edge solutions that exceed our client's expectations.",2024-10-29 19:41:06,,['Lisboa']
Senior Back-End Developer,Altar.io,We build digital products for entrepreneurs and business leaders who want to revolutionize their industries.,2024-10-29 12:19:20,48000,"['Aveiro', 'Braga', 'Coimbra', 'Lisboa', 'Setúbal', 'Porto']"
Senior Front-End Developer (i.e. React.js),Imaginary Cloud,"At Imaginary Cloud, we believe technology should improve and simplify people's lives. We are a Software Development and UX/UI Design company that follows a unique user-centric Product Design Process. We helped build and launch more than 200 web & mobile applications worldwide together with industry-leading clients and have been awarded in 2020 as Top 100 Fastest Growing Company and Top 1000 Global Company by Clutch.    Our purpose is to champion a human-centric world; that is why we put our people first always. You can expect a respectful and caring culture, where you can grow and learn in a flexible work environment (see for yourself by checking our Glassdoor rating). Imaginary Cloud has been awarded Best Quality of Life and #2 Best Place to Work® (companies between 51 and 100 employees), in Portugal, an award that proves our dedication towards building a Human-Centric World from within.    At Imaginary Cloud you will find:  	• A remote-first company. We seek team members who live in Portugal or are willing and legally qualified to live and work in the country.  	• Flexible working hours  	• Global projects with industry-leading clients  	• Career plan with strong growth potential  	• Health & Dental insurance  	• Paid sick days  	• Informal environment  	• Team events  	• Caring, respectful and human-centric culture  	• Comfort budget  	• Fair compensation according to your experience    Need more reasons to join us? If Imaginary Cloud is what you are looking for, we really would like to meet you!",2024-10-29 12:17:44,,"['Coimbra', 'Lisboa', 'Porto']"
Junior Data Analytics Consultant,Xpand IT,"Na Xpand IT inspiramos pessoas e organizações a alcançarem resultados de excelência. Apostamos na especialização tecnológica como eixo diferenciador para a criação de valor de negócio. Somos uma empresa empresa global, especialista em Big Data, BI & Analytics, Data Science, Middleware, Digital Xperience e Colaboração & Desenvolvimento de Software.",2024-10-29 12:15:43,,"['Braga', 'Lisboa']"
DevOps Engineer,Augentic Tech,"We're Augentic Tech, subsidiary of Augentic Group.    Humans, unlike all other creatures, possess the modality of the future. This vision of the future is the cornerstone of building relationships based on trust. But there are two main elements on which these relationships rest – security and freedom. Surely, security only makes sense when it is at the service of human freedom. However, freedom cannot endanger people’s security. Today, security is a challenge in itself due to the increased speed in digitalization combined with a sophisticated and demanding society. Technology-driven AUGENTIC faces these challenges by providing appropriate solutions while balancing the needs for security and freedom.",2024-10-28 20:01:48,,['Porto']
DevOps Engineer,Growin - Know to grow,"A Growin® é uma consultora de Tecnologias de Informação (TI) que presta serviços de outsourcing, na constituição de equipas de desenvolvimento de software especializadas, ou na entrega de projetos tecnológicos feitos à medida.     A empresa foi fundada em 2014 e conta com cerca de 200 colaboradores. Desde 2015, tem sido consecutivamente eleita pelo Instituto Great Place to Work® como uma das melhores empresas para trabalhar em Portugal.     A Growin tem centros de competências em Lisboa e no Porto, que trabalham com diversas tecnologias (frontend e backend) e operam para diferentes geografias.    Trabalhar em outsourcing é ter a possibilidade de desenvolver inúmeros projetos de TI, estar ligado a diferentes clientes e trabalhar com um conjunto vasto de tecnologias.     Na Growin podes partilhar o teu conhecimento com colegas de diferentes áreas de TI e ainda podes vir a trabalhar noutra empresa do grupo JOYN.",2024-10-28 20:01:07,,"['Aveiro', 'Braga', 'Lisboa', 'Porto']"
Data Scientist,Neotalent Conclusion,"Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems.     We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers.    With over 25 years of solid experience, Neotalent Conclusion has established its presence in key locations, including Lisbon, Porto, and Madrid. The company currently has more than 950 professionals in the different areas in which it operates.  Neotalent, the responsive people.    Find out more about us at www.neotalent.pt.",2024-10-28 19:59:52,,['Lisboa']
Azure AI Engineer,Xpand IT,"Na Xpand IT inspiramos pessoas e organizações a alcançarem resultados de excelência. Apostamos na especialização tecnológica como eixo diferenciador para a criação de valor de negócio. Somos uma empresa empresa global, especialista em Big Data, BI & Analytics, Data Science, Middleware, Digital Xperience e Colaboração & Desenvolvimento de Software.",2024-10-28 19:59:27,,"['Braga', 'Lisboa', 'Viana do Castelo']"
Intermediate Front-End Developer (i.e. React.js),Imaginary Cloud,"At Imaginary Cloud, we believe technology should improve and simplify people's lives. We are a Software Development and UX/UI Design company that follows a unique user-centric Product Design Process. We helped build and launch more than 200 web & mobile applications worldwide together with industry-leading clients and have been awarded in 2020 as Top 100 Fastest Growing Company and Top 1000 Global Company by Clutch.    Our purpose is to champion a human-centric world; that is why we put our people first always. You can expect a respectful and caring culture, where you can grow and learn in a flexible work environment (see for yourself by checking our Glassdoor rating). Imaginary Cloud has been awarded Best Quality of Life and #2 Best Place to Work® (companies between 51 and 100 employees), in Portugal, an award that proves our dedication towards building a Human-Centric World from within.    At Imaginary Cloud you will find:  	• A remote-first company. We seek team members who live in Portugal or are willing and legally qualified to live and work in the country.  	• Flexible working hours  	• Global projects with industry-leading clients  	• Career plan with strong growth potential  	• Health & Dental insurance  	• Paid sick days  	• Informal environment  	• Team events  	• Caring, respectful and human-centric culture  	• Comfort budget  	• Fair compensation according to your experience    Need more reasons to join us? If Imaginary Cloud is what you are looking for, we really would like to meet you!",2024-10-28 12:17:52,,"['Coimbra', 'Lisboa', 'Porto']"
Lead Fullstack Developer (Node.JS / Angular),Altar.io,We build digital products for entrepreneurs and business leaders who want to revolutionize their industries.,2024-10-28 12:17:15,55000,"['Aveiro', 'Braga', 'Coimbra', 'Lisboa', 'Setúbal', 'Porto']"
Senior Python Developer,GRiT Solutions,"Tech Passionate People, with Purpose.    GRiT® is a new authentic player at IT Consultancy, offering tangible solutions envisioned upon workable technologies.     Born in Portugal to help companies all over Europe on achieving their digital and business evolution goals.    We provide IT Consulting and Nearshoring services on two collaboration models: Time & Materials and Team as a Service.    Powered by passion and perseverance, we strive for positive impact, delivering solutions while building strong long-term relations.    People. Technology. Innovation.  All-around it.",2024-10-28 12:15:00,,"['Aveiro', 'Braga', 'Bragança', 'Porto', 'Vila Real']"
Python Developer,Noesis Portugal,"Founded in 1995, we are an international tech consulting company certified by Great Place to Work and in second place in The Best Workplaces 23. We offer innovative solutions to support our clients in their digital transformation. We have over a thousand talents specialized in different technologies, with offices in Portugal, Spain, the Netherlands, Brazil, Ireland, and the USA. Over the years, we have grown and expanded, always staying true to our core values of excellence, innovation, and customer satisfaction. Today, we are a leading player in our industry, with a reputation for delivering cutting-edge solutions that exceed our client's expectations.",2024-10-27 19:56:20,,['Porto']
Senior DBA with PostgreSQL and SQL server,GBT Solutions,"GBT Solutions is a Portuguese company with over 28 years of experience in technology. Founded in 1995, we started as a startup specializing in embedded systems and have since expanded our global reach, with projects in countries such as India, Spain, China, and the USA.    Today, we offer a comprehensive range of services, including IT consulting, turnkey solutions, outsourcing, and hosting services. With 7 years of consolidated experience in consulting, we are adept at addressing a variety of technological needs across multiple industries, such as banking, insurance, healthcare, and energy, among others.    At GBT Solutions, we value not only our clients but also the growth and well-being of our team, providing close support to our employees.",2024-10-26 18:55:16,,['Porto']
Python Developer,KWAN,"Parte do grupo Rupeal, a Kwan é uma empresa de IT Staffing especializada na arte da realização profissional, assegurando que quem trabalha connosco, sejam clientes, candidatos ou consultores, está no caminho certo para alcançar as suas motivações!",2024-10-26 18:54:34,,['N/A']
Data Developer,Valega Chain Analytics,"Established in 2018, VALEGA Chain Analytics specialises in conducting financial fraud and compliance investigations.    Headquartered in Finland, we have earned a solid reputation for our proficiency in the field of cryptocurrency-related fraud and forensic analysis.    Helsinki - Stockholm - London - Singapure",2024-10-26 18:54:27,,['Internacional']
Python Developer,Bee Engineering,"Bee Engineering is an IT consultancy company that helps organizations find the right tech solution to catalyze growth. We take the best practices of engineering and technology into projects of global reach in consulting, game development, R&D, and training. We move as one to reach further and achieve the sole purpose of success.    A Bee Engineering é uma consultora de TI que apoia as organizações a encontrar a solução tecnológica certa para catalisar o seu crescimento. Levamos as melhores práticas de engenharia e tecnologia a projetos de alcance global em consultoria, desenvolvimento de jogos, R&D e training. Movemo-nos como um todo para atingir um propósito, o sucesso.",2024-10-26 18:54:17,,"['Lisboa', 'Porto', 'Internacional']"
RPA Solution Architect,EDP,"Escolhemos mudar, já hoje, o amanhã  Há mais de 40 anos atrás iniciamos como uma atividade industrial em Portugal e crescemos para tornar-nos uma majoritária da energia global e uma líder em transição energética. Atualmente, estamos presentes em 28 mercados e temos mais do que nove milhões de clientes em eletricidade e gás natural. E com a expansão da nossa empresa, o nosso propósito e compromisso para com o planeta também tornaram-se mais fortes. Sabemos que para vencer a corrida contra a mudança climática, o mundo necessita uma transformação estrutural. E queremos impulsionar esta transformação, utilizando a força do vento, sol e água numa escala global para acelerar a descarbonização, não deixando ninguém para trás.",2024-10-26 18:53:53,,['Lisboa']
TIBCO BW Developer,Dellent,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é conseguirmos ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro do seus interesses, motivações e expectativas.",2024-10-26 18:53:41,,['Lisboa']
Data Science & Analytics,Michael Page Portugal,A Michael Page seleciona candidatos qualificados para clientes de prestígio.  Recrutamos quadros médios e superiores para projectos de caracter permanente e temporário.,2024-10-26 18:52:59,32000,['Porto']
QA Analyst Integration,Dellent,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é conseguirmos ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro do seus interesses, motivações e expectativas.",2024-10-26 18:52:32,,['Porto']
Data Engineer,Adentis,"Com mais de 5 anos de existência a nível nacional, contamos com mais de 200 colaboradores com o nosso ADN e posicionamo-nos no mercado com 3 ofertas de serviço:  •	Strategy (Outsourcing, NeXel, Team as a Service, Tech Academies);  •	R&D (Estágios, POC, Laboratório Tecnológico);  •	Nearshore.    Na ADENTIS centramo-nos nas PESSOAS e é este o nosso salário emocional:  •	Equilíbrio entre a vida profissional e pessoal;  •	Flexibilidade na rotina organizacional;  •	Benefícios de saúde para colaboradores e familiares;  •	Eventos Team Building;  •	Protocolo com mais de 300 parceiros;  •	Formação contínua através de um centro profissional de formação e certificação;  •	Acompanhamento e feedback contínuo através de um plano personalizado;  •	Progressão de carreira através de avaliações objetivas e diretas.",2024-10-26 18:52:02,,"['Lisboa', 'Porto']"
C# Developer,GBT Solutions,"GBT Solutions is a Portuguese company with over 28 years of experience in technology. Founded in 1995, we started as a startup specializing in embedded systems and have since expanded our global reach, with projects in countries such as India, Spain, China, and the USA.    Today, we offer a comprehensive range of services, including IT consulting, turnkey solutions, outsourcing, and hosting services. With 7 years of consolidated experience in consulting, we are adept at addressing a variety of technological needs across multiple industries, such as banking, insurance, healthcare, and energy, among others.    At GBT Solutions, we value not only our clients but also the growth and well-being of our team, providing close support to our employees.",2024-10-26 18:51:54,,['Lisboa']
Machine Learning Engineer,KWAN,"Parte do grupo Rupeal, a Kwan é uma empresa de IT Staffing especializada na arte da realização profissional, assegurando que quem trabalha connosco, sejam clientes, candidatos ou consultores, está no caminho certo para alcançar as suas motivações!",2024-10-25 19:32:49,,['N/A']
Junior Cyber Security,GBT Solutions,"GBT Solutions is a Portuguese company with over 28 years of experience in technology. Founded in 1995, we started as a startup specializing in embedded systems and have since expanded our global reach, with projects in countries such as India, Spain, China, and the USA.    Today, we offer a comprehensive range of services, including IT consulting, turnkey solutions, outsourcing, and hosting services. With 7 years of consolidated experience in consulting, we are adept at addressing a variety of technological needs across multiple industries, such as banking, insurance, healthcare, and energy, among others.    At GBT Solutions, we value not only our clients but also the growth and well-being of our team, providing close support to our employees.",2024-10-25 19:32:45,,['Lisboa']
Application Support TQRM,Dellent,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é conseguirmos ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro do seus interesses, motivações e expectativas.",2024-10-25 19:32:25,,['Porto']
Cloud Engineer,KWAN,"Parte do grupo Rupeal, a Kwan é uma empresa de IT Staffing especializada na arte da realização profissional, assegurando que quem trabalha connosco, sejam clientes, candidatos ou consultores, está no caminho certo para alcançar as suas motivações!",2024-10-25 19:30:48,,['Lisboa']
Senior Firmware Developer (C/C++),Dellent,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é conseguirmos ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro do seus interesses, motivações e expectativas.",2024-10-25 12:53:52,,['Aveiro']
Senior Application Support Engineer,Dellent,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é conseguirmos ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro do seus interesses, motivações e expectativas.",2024-10-25 12:51:59,,['Porto']
Cloud Data Engineer,akapeople,"Somos uma empresa de consultoria de recursos humanos, fundada por profissionais com uma sólida experiência no setor. A nossa ambição é criar um novo paradigma de serviços no mercado de Tecnologias de Informação e de Engenharia.     A AkaPeople não se limita a fazer a mudança acontecer. O seu código genético combina valores e atitudes que lhe conferem uma personalidade única e promissora.    aka (also known as), porque pretende tornar-se também conhecida por: excelência sem medida, na superação de barreiras.    people, porque se trata de uma empresa de pessoas, que sabem encontrar, interpretar, atrair, selecionar e potenciar talento, de pessoas para pessoas, conferindo-lhe o sobrenome, a identidade e o significado central.    No seu ADN, a AkaPeople incorpora a diversidade do talento da equipa que lhe dá vida: a garra, a energia e a criatividade, que traz novas formas de pensar, lapidada pela experiência, confiança e ponderação dos seus mentores, que detendo um vasto know-how e networking, dão asas a um novo fazer.",2024-10-24 21:42:43,,['Porto']
DevOps Engineer,Xpand IT,"Na Xpand IT inspiramos pessoas e organizações a alcançarem resultados de excelência. Apostamos na especialização tecnológica como eixo diferenciador para a criação de valor de negócio. Somos uma empresa empresa global, especialista em Big Data, BI & Analytics, Data Science, Middleware, Digital Xperience e Colaboração & Desenvolvimento de Software.",2024-10-24 21:42:24,,['Lisboa']
Senior Backend Engineer,Michael Page Portugal,A Michael Page seleciona candidatos qualificados para clientes de prestígio.  Recrutamos quadros médios e superiores para projectos de caracter permanente e temporário.,2024-10-24 21:41:53,,['Porto']
Data Analytics Consultant,Xpand IT,"Na Xpand IT inspiramos pessoas e organizações a alcançarem resultados de excelência. Apostamos na especialização tecnológica como eixo diferenciador para a criação de valor de negócio. Somos uma empresa empresa global, especialista em Big Data, BI & Analytics, Data Science, Middleware, Digital Xperience e Colaboração & Desenvolvimento de Software.",2024-10-24 21:40:59,,"['Braga', 'Lisboa']"
Python Developer,Bee Engineering,"Bee Engineering is an IT consultancy company that helps organizations find the right tech solution to catalyze growth. We take the best practices of engineering and technology into projects of global reach in consulting, game development, R&D, and training. We move as one to reach further and achieve the sole purpose of success.    A Bee Engineering é uma consultora de TI que apoia as organizações a encontrar a solução tecnológica certa para catalisar o seu crescimento. Levamos as melhores práticas de engenharia e tecnologia a projetos de alcance global em consultoria, desenvolvimento de jogos, R&D e training. Movemo-nos como um todo para atingir um propósito, o sucesso.",2024-10-24 21:40:52,,"['Lisboa', 'Porto', 'Internacional']"
Power Platform Senior Developer,Dellent,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é conseguirmos ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro do seus interesses, motivações e expectativas.",2024-10-24 21:40:06,,['Porto']
Senior Project Manager,Altar.io,We build digital products for entrepreneurs and business leaders who want to revolutionize their industries.,2024-10-24 12:03:26,70000,"['Aveiro', 'Braga', 'Coimbra', 'Lisboa', 'Setúbal', 'Porto']"
Data Analyst,KWAN,"Parte do grupo Rupeal, a Kwan é uma empresa de IT Staffing especializada na arte da realização profissional, assegurando que quem trabalha connosco, sejam clientes, candidatos ou consultores, está no caminho certo para alcançar as suas motivações!",2024-10-24 12:00:25,,['Porto']
Cloud Native Developer ,Noesis Portugal,"Founded in 1995, we are an international tech consulting company certified by Great Place to Work and in second place in The Best Workplaces 23. We offer innovative solutions to support our clients in their digital transformation. We have over a thousand talents specialized in different technologies, with offices in Portugal, Spain, the Netherlands, Brazil, Ireland, and the USA. Over the years, we have grown and expanded, always staying true to our core values of excellence, innovation, and customer satisfaction. Today, we are a leading player in our industry, with a reputation for delivering cutting-edge solutions that exceed our client's expectations.",2024-10-24 11:59:55,,['Porto']
Data Scientist,KWAN,"Parte do grupo Rupeal, a Kwan é uma empresa de IT Staffing especializada na arte da realização profissional, assegurando que quem trabalha connosco, sejam clientes, candidatos ou consultores, está no caminho certo para alcançar as suas motivações!",2024-10-23 19:44:12,,['N/A']
Data Engineer,Dellent,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é conseguirmos ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro do seus interesses, motivações e expectativas.",2024-10-23 19:42:55,,"['Lisboa', 'Porto']"
QA Automation Engineer,Adentis,"Com mais de 5 anos de existência a nível nacional, contamos com mais de 200 colaboradores com o nosso ADN e posicionamo-nos no mercado com 3 ofertas de serviço:  •	Strategy (Outsourcing, NeXel, Team as a Service, Tech Academies);  •	R&D (Estágios, POC, Laboratório Tecnológico);  •	Nearshore.    Na ADENTIS centramo-nos nas PESSOAS e é este o nosso salário emocional:  •	Equilíbrio entre a vida profissional e pessoal;  •	Flexibilidade na rotina organizacional;  •	Benefícios de saúde para colaboradores e familiares;  •	Eventos Team Building;  •	Protocolo com mais de 300 parceiros;  •	Formação contínua através de um centro profissional de formação e certificação;  •	Acompanhamento e feedback contínuo através de um plano personalizado;  •	Progressão de carreira através de avaliações objetivas e diretas.",2024-10-23 19:42:17,,"['Aveiro', 'Porto']"
Monitoring Platforms Consultant w/ Dynatrace,Noesis Portugal,"Founded in 1995, we are an international tech consulting company certified by Great Place to Work and in second place in The Best Workplaces 23. We offer innovative solutions to support our clients in their digital transformation. We have over a thousand talents specialized in different technologies, with offices in Portugal, Spain, the Netherlands, Brazil, Ireland, and the USA. Over the years, we have grown and expanded, always staying true to our core values of excellence, innovation, and customer satisfaction. Today, we are a leading player in our industry, with a reputation for delivering cutting-edge solutions that exceed our client's expectations.",2024-10-23 19:41:43,,['Lisboa']
Data Engineer,Bee Engineering,"Bee Engineering is an IT consultancy company that helps organizations find the right tech solution to catalyze growth. We take the best practices of engineering and technology into projects of global reach in consulting, game development, R&D, and training. We move as one to reach further and achieve the sole purpose of success.    A Bee Engineering é uma consultora de TI que apoia as organizações a encontrar a solução tecnológica certa para catalisar o seu crescimento. Levamos as melhores práticas de engenharia e tecnologia a projetos de alcance global em consultoria, desenvolvimento de jogos, R&D e training. Movemo-nos como um todo para atingir um propósito, o sucesso.",2024-10-23 19:39:56,,"['Lisboa', 'Porto', 'Internacional']"
Data Analytics Consultant,Social Data Lab,A Social Data Lab é uma empresa que se dedica à produção e análise da informação.,2024-10-23 13:24:16,,['Lisboa']
